iter	RMSE
280	10848.32059
281	10827.63512
282	10795.04609
283	10764.67644
284	10741.57815
285	10701.71854
286	10686.24907
287	10646.30559
288	10617.5091
289	10594.31448
290	10558.01144
291	10540.04514
292	10509.04264
293	10480.26888
294	10464.12392
295	10440.58595
296	10409.27455
297	10385.02163
298	10362.19185
299	10339.38361
300	10314.8973
301	10294.71751
302	10275.86354
303	10249.9458
304	10230.64804
305	10206.98247
306	10183.32965
307	10157.55865
308	10138.28941
309	10119.5551
310	10096.22651
311	10083.63182
312	10057.03602
313	10038.15698
314	10014.1072
315	9983.909406
316	9965.706248
317	9942.58453
318	9933.416865
319	9906.119204
320	9882.92104
321	9868.624197
322	9847.024554
323	9830.197427
324	9800.901209
325	9777.62385
326	9749.797635
327	9731.059898
328	9707.192502
329	9687.668688
330	9681.449155
331	9661.320875
332	9647.733936
333	9627.165348
334	9608.62573
335	9595.104681
336	9575.847505
337	9553.838518
338	9531.862504
339	9509.035014
340	9478.277277
341	9458.129973
342	9437.419026
343	9417.599438
344	9400.196529
345	9384.477469
346	9362.070056
347	9353.467492
348	9340.097796
349	9318.245556
350	9298.926548
351	9280.004827
352	9254.383405
353	9238.190469
354	9220.200801
355	9206.176612
356	9181.342967
357	9160.631954
358	9147.919267
359	9133.09325
360	9114.587779
361	9105.996975
362	9089.737157
363	9069.794518
364	9057.171654
365	9039.082959
366	9023.403888
367	9004.792787
368	8987.739378
369	8968.21203
370	8942.205358
371	8923.25751
372	8913.981065
373	8893.719116
374	8877.671122
375	8867.051405
376	8847.912101
377	8829.011868
378	8810.056721
379	8792.894355
380	8777.627937
381	8758.657541
382	8740.96079
383	8718.507405
384	8703.016108
385	8692.245703
386	8681.273838
387	8669.29304
388	8649.495413
389	8634.31217
390	8615.519992
391	8602.590492
392	8583.229341
393	8566.059871
394	8547.331485
395	8530.957091
396	8515.472435
397	8504.038624
398	8501.302693
399	8492.169842
400	8477.549988
401	8461.139498
402	8456.173467
403	8437.579351
404	8431.331433
405	8415.958914
406	8399.93023
407	8378.265324
408	8357.467507
409	8340.002777
410	8331.568569
411	8323.128036
412	8316.408544
413	8310.816683
414	8293.688288
415	8274.121685
416	8261.455935
417	8249.078073
418	8238.849885
419	8225.344925
420	8213.84915
421	8203.272526
422	8194.237405
423	8182.645681
424	8162.133645
425	8151.603859
426	8139.414649
427	8128.346948
428	8107.086634
429	8102.446784
430	8085.000141
431	8074.234134
432	8051.495727
433	8041.913949
434	8029.760701
435	8018.116786
436	8002.388626
437	7989.256596
438	7978.5476
439	7964.754791
440	7946.195914
441	7935.347705
442	7917.410302
443	7902.494086
444	7892.004872
445	7880.94513
446	7870.944526
447	7856.364892
448	7838.940606
449	7827.545943
450	7813.242301
451	7801.158454
452	7784.054185
453	7774.226821
454	7765.89659
455	7755.397967
456	7743.273985
457	7728.89961
458	7718.516982
459	7713.499158
460	7701.508194
461	7684.243259
462	7674.973022
463	7662.521538
464	7656.396599
465	7654.285112
466	7641.197701
467	7630.692396
468	7607.282404
469	7594.531797
470	7580.228205
471	7566.671001
472	7553.220967
473	7542.604314
474	7529.237575
475	7511.42268
476	7502.690051
477	7495.581889
478	7488.482884
479	7475.615446
480	7460.118104
481	7449.127533
482	7430.26572
483	7423.122874
484	7411.57463
485	7404.007972
486	7393.448555
487	7383.126635
488	7371.744778
489	7365.959901
490	7354.490636
491	7347.129014
492	7333.087071
493	7319.791005
494	7310.304769
495	7301.7388
496	7286.472592
497	7277.938072
498	7262.753901
499	7253.601843
500	7235.644752
501	7217.273542
502	7208.24762
503	7194.711984
504	7183.377536
505	7170.819355
506	7158.837199
507	7140.627639
508	7126.039823
509	7114.340095
510	7104.266563
511	7092.30426
512	7082.137849
513	7072.834053
514	7058.689801
515	7051.642689
516	7039.570922
517	7039.261716
518	7025.25617
519	7011.253221
520	6994.866413
521	6983.445171
522	6975.012709
523	6963.464228
524	6953.288924
525	6946.795067
526	6937.86516
527	6927.151628
528	6914.822241
529	6906.106899
530	6898.069686
531	6891.988371
532	6888.038986
533	6879.589375
534	6869.904982
535	6866.070033
536	6852.481963
537	6842.335573
538	6830.822055
539	6825.736302
540	6817.676648
541	6806.596274
542	6799.508588
543	6796.25996
544	6787.507715
545	6779.00732
546	6768.111483
547	6761.194163
548	6753.512582
549	6739.972461
550	6735.76671
551	6726.163221
552	6717.193731
553	6714.049146
554	6710.154997
555	6702.522111
556	6692.733821
557	6687.302005
558	6685.214687
559	6674.435079
560	6660.158252
561	6659.913699
562	6653.000322
563	6638.465324
564	6629.590795
565	6621.128003
566	6612.937886
567	6602.071968
568	6590.587248
569	6581.807734
570	6571.576194
571	6557.144528
572	6546.748469
573	6539.949876
574	6536.636945
575	6524.746066
576	6514.900704
577	6506.850101
578	6498.066928
579	6492.581898
580	6481.564532
581	6469.412665
582	6465.299259
583	6459.375102
584	6452.798339
585	6443.829291
586	6436.835143
587	6429.199464
588	6424.643078
589	6414.551679
590	6406.017692
591	6398.799275
592	6393.471542
593	6383.882483
594	6375.183945
595	6367.280006
596	6356.929786
597	6350.393626
598	6342.442666
599	6334.55906
600	6329.771918
601	6323.244051
602	6311.749009
603	6309.55259
604	6297.562391
605	6292.810562
606	6279.264255
607	6272.518676
608	6260.907174
609	6252.019959
610	6246.494266
611	6236.260669
612	6234.727291
613	6217.959522
614	6211.848571
615	6199.01411
616	6194.029857
617	6184.808918
618	6179.619417
619	6175.661635
620	6163.353622
621	6154.424236
622	6145.973121
623	6134.549833
624	6128.81612
625	6121.996733
626	6116.04795
627	6106.556839
628	6094.257237
629	6089.952659
630	6078.831478
631	6071.828905
632	6056.333593
633	6052.46856
634	6045.084533
635	6033.971484
636	6026.335874
637	6017.4781
638	6014.525278
639	6005.130165
640	5997.892661
641	5985.639864
642	5979.589732
643	5973.394441
644	5969.846452
645	5960.274629
646	5955.441215
647	5947.877787
648	5941.606678
649	5935.907658
650	5928.419916
651	5919.258957
652	5913.74982
653	5908.845944
654	5900.131465
655	5888.662429
656	5879.324387
657	5875.819624
658	5867.53809
659	5858.764946
660	5853.49167
661	5848.531242
662	5844.269073
663	5833.065381
664	5827.454379
665	5821.610495
666	5814.840141
667	5805.506399
668	5800.216565
669	5796.079445
670	5787.06389
671	5781.633832
672	5775.703444
673	5767.756108
674	5762.765976
675	5749.676617
676	5741.33475
677	5734.204439
678	5724.971715
679	5717.39327
680	5713.631953
681	5701.769082
682	5694.000637
683	5693.857298
684	5689.785112
685	5677.613569
686	5669.847778
687	5667.709692
688	5659.338226
689	5649.682046
690	5644.145793
691	5636.075882
692	5626.698406
693	5620.844695
694	5611.370162
695	5602.965771
696	5594.714096
697	5587.984752
698	5583.196888
699	5579.1344
700	5570.739441
701	5564.977805
702	5558.010197
703	5550.301466
704	5545.361474
705	5542.075919
706	5534.310042
707	5529.382623
708	5518.40779
709	5516.692675
710	5508.728902
711	5492.025529
712	5485.511127
713	5475.528171
714	5471.260246
715	5462.537854
716	5454.165797
717	5447.562003
718	5439.698337
719	5432.182312
720	5425.555599
721	5417.586349
722	5408.522418
723	5402.831791
724	5397.778623
725	5392.029243
726	5385.433082
727	5376.670926
728	5369.494858
729	5361.904464
730	5354.524049
731	5347.541877
732	5338.450367
733	5333.943859
734	5325.65569
735	5321.381035
736	5317.432302
737	5312.211393
738	5308.323736
739	5304.856962
740	5297.818273
741	5289.099376
742	5276.103987
743	5263.925641
744	5259.852126
745	5255.163535
746	5251.739228
747	5249.122155
748	5243.778891
749	5240.69728
750	5232.773253
751	5227.094413
752	5224.223059
753	5217.264162
754	5212.520397
755	5203.428833
756	5193.351169
757	5187.304464
758	5182.116663
759	5180.064005
760	5177.321992
761	5170.700481
762	5167.199455
763	5162.21295
764	5156.958958
765	5148.808831
766	5143.60722
767	5132.818264
768	5125.638939
769	5121.548034
770	5119.911415
771	5114.739622
772	5109.853097
773	5105.832719
774	5101.534173
775	5095.800663
776	5091.931255
777	5087.989704
778	5081.977485
779	5079.630498
780	5075.844057
781	5071.217906
782	5065.907334
783	5056.802042
784	5049.452881
785	5043.158311
786	5035.322156
787	5029.675785
788	5022.818286
789	5019.243929
790	5009.370971
791	5001.667037
792	4998.217021
793	4997.589062
794	4992.741517
795	4988.802853
796	4983.773356
797	4976.212184
798	4967.159894
799	4959.429882
800	4954.048231
801	4949.490291
802	4944.061813
803	4935.605839
804	4934.638497
805	4928.259646
806	4922.358866
807	4916.141964
808	4912.268842
809	4907.240033
810	4902.851127
811	4895.619557
812	4881.979497
813	4874.289508
814	4870.530844
815	4863.797884
816	4857.222234
817	4852.149744
818	4846.78027
819	4843.672387
820	4838.720471
821	4830.326241
822	4823.951304
823	4820.2074
824	4819.642048
825	4814.145256
826	4808.609708
827	4804.757525
828	4798.552679
829	4792.53851
830	4788.274014
831	4781.111553
832	4772.383823
833	4765.638115
834	4756.813344
835	4750.358116
836	4745.216461
837	4739.345954
838	4736.002924
839	4732.099383
840	4726.893873
841	4722.395324
842	4715.987605
843	4708.513173
844	4702.567191
845	4697.673287
846	4694.422831
847	4689.542366
848	4684.118346
849	4673.891811
850	4670.447236
851	4666.090498
852	4656.88971
853	4649.481873
854	4643.321122
855	4638.957393
856	4633.073511
857	4628.46244
858	4621.178819
859	4615.047299
860	4609.07779
861	4607.841397
862	4602.186173
863	4596.006817
864	4589.595905
865	4583.217963
866	4580.424318
867	4575.640306
868	4572.501169
869	4568.17274
870	4562.854241
871	4560.300129
872	4553.709263
873	4546.102534
874	4539.395934
875	4532.020615
876	4521.459305
877	4515.758638
878	4513.95541
879	4508.357367
880	4501.293077
881	4498.176138
882	4492.543016
883	4487.468147
884	4484.99012
885	4481.221527
886	4471.777947
887	4467.237322
888	4462.727331
889	4459.054623
890	4457.263218
891	4453.845587
892	4450.289338
893	4443.216902
894	4438.747101
895	4434.759343
896	4431.926901
897	4428.225309
898	4423.467911
899	4418.350568
900	4414.545395
901	4410.687339
902	4405.293962
903	4400.437989
904	4392.765535
905	4386.077337
906	4382.678395
907	4378.475098
908	4373.972834
909	4368.663068
910	4365.658669
911	4362.244644
912	4359.090687
913	4353.555204
914	4347.423283
915	4344.411451
916	4340.005398
917	4334.76161
918	4330.609819
919	4326.367652
920	4324.118053
921	4317.938676
922	4316.748591
923	4314.944393
924	4308.886162
925	4304.76151
926	4301.173792
927	4296.607054
928	4292.440602
929	4287.809194
930	4282.990578
931	4278.872874
932	4277.23282
933	4272.783206
934	4268.871822
935	4262.588808
936	4254.805211
937	4251.193195
938	4246.14705
939	4243.248669
940	4237.758447
941	4232.173306
942	4227.76331
943	4225.942868
944	4224.088595
945	4221.323868
946	4217.930275
947	4215.784205
948	4211.383121
949	4202.460262
950	4200.598368
951	4196.746223
952	4195.105437
953	4190.577595
954	4186.582692
955	4186.176535
956	4179.098758
957	4173.998787
958	4171.423608
959	4168.809905
960	4165.482939
961	4158.541923
962	4154.94311
963	4148.9228
964	4144.92428
965	4143.108218
966	4140.160875
967	4136.657002
968	4133.166281
969	4130.145262
970	4124.832243
971	4119.157153
972	4116.369456
973	4110.871967
974	4103.597139
975	4096.711803
976	4092.216123
977	4089.362475
978	4083.627114
979	4078.545055
980	4075.713625
981	4071.808909
982	4070.011524
983	4066.228618
984	4058.165616
985	4054.603201
986	4050.112983
987	4045.215026
988	4040.924825
989	4037.935985
990	4033.897475
991	4028.378458
992	4023.799709
993	4019.553267
994	4014.817305
995	4011.018936
996	4006.554125
997	4002.79297
998	3997.989892
999	3992.254873
1000	3990.060331
1001	3986.238942
1002	3983.122657
1003	3980.593203
1004	3974.097681
1005	3967.904489
1006	3965.018178
1007	3959.175464
1008	3953.718528
1009	3950.16405
1010	3945.414078
1011	3940.952764
1012	3938.380484
1013	3934.508722
1014	3930.670883
1015	3927.627227
1016	3921.188998
1017	3915.073876
1018	3910.68747
1019	3905.312158
1020	3903.047981
1021	3897.986796
1022	3893.692396
1023	3890.204775
1024	3889.19563
1025	3885.882038
1026	3881.344904
1027	3877.216465
1028	3874.725316
1029	3870.19231
1030	3868.793854
1031	3865.530054
1032	3861.606949
1033	3857.0799
1034	3852.152394
1035	3847.843992
1036	3843.599153
1037	3839.86253
1038	3836.029608
1039	3833.230635
1040	3831.116091
1041	3828.158439
1042	3825.524817
1043	3823.584379
1044	3819.453494
1045	3815.857962
1046	3811.579071
1047	3806.47331
1048	3800.959986
1049	3796.129982
1050	3787.779793
1051	3784.702379
1052	3782.721071
1053	3777.024381
1054	3773.691677
1055	3771.03161
1056	3765.862396
1057	3765.283387
1058	3759.799988
1059	3756.571932
1060	3746.932324
1061	3744.832209
1062	3741.223922
1063	3737.910984
1064	3736.108245
1065	3732.878175
1066	3729.213372
1067	3726.751905
1068	3723.692383
1069	3719.683532
1070	3717.759537
1071	3714.358428
1072	3707.943378
1073	3704.809648
1074	3700.53605
1075	3698.136901
1076	3694.781225
1077	3692.219527
1078	3688.125437
1079	3684.472645
1080	3681.975608
1081	3678.299358
1082	3671.792672
1083	3669.10464
1084	3664.357606
1085	3660.786238
1086	3656.075285
1087	3654.552882
1088	3649.405806
1089	3649.003176
1090	3644.359856
1091	3640.500366
1092	3637.669645
1093	3635.292135
1094	3631.570633
1095	3625.571212
1096	3623.760237
1097	3619.977336
1098	3612.827752
1099	3610.248738
1100	3607.341441
1101	3604.586159
1102	3601.491619
1103	3597.906297
1104	3593.212335
1105	3588.242298
1106	3586.689182
1107	3584.092107
1108	3581.190528
1109	3578.467576
1110	3573.801731
1111	3570.75746
1112	3567.967036
1113	3565.41211
1114	3561.986761
1115	3559.969286
1116	3559.652332
1117	3558.135746
1118	3554.783945
1119	3552.967223
1120	3548.291035
1121	3545.748481
1122	3540.759152
1123	3537.414328
1124	3532.609791
1125	3529.255057
1126	3528.657521
1127	3526.738546
1128	3521.921762
1129	3519.466655
1130	3515.362509
1131	3512.681191
1132	3511.344263
1133	3508.418259
1134	3504.8219
1135	3502.80566
1136	3498.982597
1137	3496.365197
1138	3493.459921
1139	3490.060126
1140	3486.277302
1141	3483.065739
1142	3479.775451
1143	3475.963174
1144	3471.437865
1145	3465.445031
1146	3461.693934
1147	3458.958437
1148	3455.378029
1149	3450.484866
1150	3447.120671
1151	3443.436551
1152	3441.496475
1153	3438.726619
1154	3437.027823
1155	3434.252031
1156	3431.331367
1157	3427.271219
1158	3424.282612
1159	3422.385689
1160	3421.335236
1161	3418.442649
1162	3415.202653
1163	3412.585036
1164	3410.509713
1165	3408.090803
1166	3406.085995
1167	3403.745584
1168	3401.561153
1169	3399.658567
1170	3396.722675
1171	3394.890292
1172	3392.217528
1173	3390.991246
1174	3390.105066
1175	3386.349753
1176	3384.173558
1177	3379.528579
1178	3375.109932
1179	3372.464387
1180	3371.440837
1181	3366.460885
1182	3363.237869
1183	3362.352584
1184	3359.350229
1185	3359.017359
1186	3355.455909
1187	3351.448422
1188	3349.863097
1189	3346.438019
1190	3343.816741
1191	3341.58399
1192	3339.236415
1193	3335.493511
1194	3329.385867
1195	3326.145997
1196	3322.272651
1197	3319.162276
1198	3316.310957
1199	3311.374491
1200	3307.711587
1201	3305.428792
1202	3302.300285
1203	3299.135522
1204	3298.423096
1205	3294.925992
1206	3291.391518
1207	3287.675342
1208	3284.305808
1209	3281.167999
1210	3278.669036
1211	3278.358643
1212	3273.689851
1213	3271.382628
1214	3268.137018
1215	3266.295841
1216	3261.036522
1217	3259.370226
1218	3256.687647
1219	3254.505974
1220	3250.379321
1221	3246.946765
1222	3243.477395
1223	3241.292272
1224	3238.415097
1225	3235.033021
1226	3233.058519
1227	3229.202569
1228	3226.449879
1229	3223.268635
1230	3220.208572
1231	3216.275445
1232	3213.780289
1233	3208.595773
1234	3205.343898
1235	3202.308086
1236	3199.077379
1237	3196.906747
1238	3194.607023
1239	3191.979865
1240	3188.47805
1241	3184.998906
1242	3182.775954
1243	3179.942237
1244	3177.858285
1245	3174.982454
1246	3172.941275
1247	3170.269621
1248	3167.427531
1249	3163.753619
1250	3160.773958
1251	3158.679564
1252	3157.126312
1253	3154.19411
1254	3151.93509
1255	3150.21587
1256	3147.593138
1257	3143.686346
1258	3141.326829
1259	3140.109412
1260	3139.686631
1261	3137.929515
1262	3135.676177
1263	3134.146432
1264	3130.883646
1265	3130.046786
1266	3128.890111
1267	3124.862414
1268	3123.181035
1269	3121.211785
1270	3118.612485
1271	3117.209248
1272	3113.260872
1273	3110.769697
1274	3109.308868
1275	3106.095182
1276	3102.022435
1277	3099.337523
1278	3097.057293
1279	3095.098113
1280	3092.976738
1281	3090.253071
1282	3086.90282
1283	3083.005652
1284	3081.556654
1285	3078.745021
1286	3077.270361
1287	3073.507155
1288	3070.452996
1289	3068.570733
1290	3068.101992
1291	3066.98753
1292	3066.953106
1293	3065.143028
1294	3062.239362
1295	3061.164507
1296	3058.406547
1297	3055.65907
1298	3052.480935
1299	3048.016036
1300	3044.433863
1301	3044.104749
1302	3040.837956
1303	3038.346246
1304	3037.630701
1305	3034.636967
1306	3032.625998
1307	3032.337774
1308	3028.930764
1309	3027.134781
1310	3022.417164
1311	3020.198561
1312	3017.803668
1313	3017.740228
1314	3016.246993
1315	3011.1615
1316	3008.860459
1317	3006.809061
1318	3004.323383
1319	3003.34967
1320	2999.898864
1321	2997.055413
1322	2993.563152
1323	2992.719952
1324	2992.176317
1325	2989.256493
1326	2986.541624
1327	2984.84613
1328	2981.567496
1329	2978.51228
1330	2977.18299
1331	2973.898361
1332	2970.389416
1333	2969.988032
1334	2966.358909
1335	2963.835846
1336	2961.509722
1337	2957.611372
1338	2955.037346
1339	2950.661274
1340	2948.766893
1341	2945.96859
1342	2944.687827
1343	2944.65681
1344	2940.670178
1345	2938.089997
1346	2936.488053
1347	2934.842601
1348	2930.959993
1349	2928.707974
1350	2926.877417
1351	2925.62727
1352	2922.69691
1353	2920.775594
1354	2919.739345
1355	2916.410092
1356	2916.256176
1357	2914.179169
1358	2911.899441
1359	2909.431015
1360	2906.105599
1361	2903.243913
1362	2899.742154
1363	2896.378929
1364	2892.883024
1365	2890.710539
1366	2887.847311
1367	2886.976058
1368	2884.864272
1369	2883.829712
1370	2881.240033
1371	2880.408505
1372	2878.734054
1373	2876.797652
1374	2872.727487
1375	2870.491466
1376	2869.401681
1377	2869.249339
1378	2865.745182
1379	2863.351767
1380	2859.942014
1381	2857.450226
1382	2856.650409
1383	2855.624131
1384	2852.319014
1385	2849.824553
1386	2846.689153
1387	2844.340817
1388	2842.793555
1389	2842.426442
1390	2840.344184
1391	2837.937982
1392	2835.165507
1393	2831.038124
1394	2828.358224
1395	2825.797417
1396	2825.663396
1397	2825.632167
1398	2823.636137
1399	2823.610048
1400	2821.721741
1401	2819.32837
1402	2817.174201
1403	2816.000359
1404	2813.073193
1405	2810.846997
1406	2808.521449
1407	2808.497956
1408	2805.754478
1409	2802.405353
1410	2800.415527
1411	2795.64955
1412	2794.934491
1413	2793.533034
1414	2792.58494
1415	2788.903497
1416	2788.220041
1417	2785.797832
1418	2783.482517
1419	2781.355725
1420	2781.243569
1421	2777.948574
1422	2776.320851
1423	2772.801732
1424	2770.754471
1425	2770.070839
1426	2765.567525
1427	2763.055298
1428	2761.922995
1429	2760.364669
1430	2757.735691
1431	2754.688052
1432	2753.171556
1433	2749.778545
1434	2746.274648
1435	2744.482692
1436	2741.711909
1437	2737.425483
1438	2735.532661
1439	2733.850938
1440	2730.1661
1441	2729.140701
1442	2726.267622
1443	2723.459797
1444	2722.08174
1445	2718.302651
1446	2715.305646
1447	2712.276656
1448	2710.687425
1449	2709.261014
1450	2706.056657
1451	2704.106854
1452	2701.998234
1453	2701.214178
1454	2700.096261
1455	2697.465501
1456	2696.520517
1457	2694.54226
1458	2694.503731
1459	2693.608816
1460	2691.108517
1461	2688.921792
1462	2686.39692
1463	2683.886685
1464	2681.610592
1465	2677.40208
1466	2675.990814
1467	2673.928514
1468	2671.604446
1469	2669.709167
1470	2667.959124
1471	2665.717023
1472	2660.974918
1473	2657.79974
1474	2655.787774
1475	2653.402568
1476	2650.54979
1477	2650.5032
1478	2648.34244
1479	2646.742522
1480	2646.029695
1481	2645.673897
1482	2644.707329
1483	2641.770284
1484	2640.833155
1485	2639.008332
1486	2636.251079
1487	2633.806114
1488	2631.60533
1489	2629.61731
1490	2628.555858
1491	2625.979916
1492	2625.882892
1493	2623.948422
1494	2621.919522
1495	2621.147353
1496	2617.528476
1497	2616.151476
1498	2613.88446
1499	2611.941834
