iter	Passed	Remaining
413	3793	9950
414	3801	9938
415	3806	9918
416	3813	9905
417	3822	9895
418	3830	9881
419	3839	9872
420	3844	9853
421	3853	9844
422	3861	9831
423	3869	9820
424	3877	9807
425	3885	9796
426	3895	9789
427	3913	9802
428	3931	9815
429	3940	9804
430	3953	9805
431	3961	9794
432	3970	9785
433	3978	9772
434	3987	9763
435	3995	9749
436	4004	9741
437	4011	9727
438	4021	9718
439	4029	9706
440	4038	9697
441	4047	9687
442	4056	9678
443	4065	9670
444	4074	9659
445	4082	9647
446	4090	9636
447	4098	9624
448	4106	9612
449	4114	9601
450	4120	9584
451	4128	9573
452	4135	9557
453	4139	9537
454	4144	9518
455	4154	9511
456	4173	9526
457	4183	9517
458	4190	9504
459	4199	9494
460	4207	9481
461	4216	9472
462	4221	9454
463	4229	9442
464	4237	9430
465	4244	9418
466	4253	9408
467	4261	9397
468	4269	9386
469	4278	9375
470	4283	9358
471	4291	9346
472	4300	9337
473	4308	9324
474	4316	9314
475	4324	9302
476	4329	9285
477	4337	9273
478	4345	9262
479	4353	9252
480	4363	9244
481	4371	9232
482	4379	9222
483	4384	9204
484	4393	9194
485	4401	9182
486	4419	9192
487	4424	9175
488	4433	9166
489	4441	9154
490	4450	9145
491	4458	9134
492	4466	9123
493	4474	9112
494	4482	9101
495	4490	9090
496	4499	9080
497	4507	9068
498	4513	9053
499	4521	9042
500	4529	9031
501	4537	9020
502	4546	9011
503	4554	9000
504	4563	8990
505	4570	8978
506	4579	8969
507	4587	8957
508	4595	8948
509	4603	8936
510	4612	8926
511	4619	8914
512	4624	8897
513	4632	8886
514	4641	8877
515	4649	8866
516	4668	8876
517	4674	8860
518	4682	8850
519	4687	8834
520	4696	8824
521	4703	8813
522	4712	8802
523	4719	8791
524	4728	8781
525	4736	8770
526	4745	8761
527	4750	8744
528	4755	8729
529	4763	8718
530	4772	8708
531	4779	8697
532	4787	8686
533	4795	8675
534	4805	8667
535	4813	8657
536	4822	8648
537	4827	8632
538	4833	8618
539	4843	8611
540	4852	8601
541	4860	8590
542	4869	8581
543	4875	8567
544	4884	8558
545	4893	8550
546	4914	8562
547	4921	8550
548	4930	8540
549	4936	8525
550	4945	8517
551	4952	8506
552	4958	8491
553	4968	8483
554	4974	8469
555	4982	8459
556	4991	8451
557	5001	8442
558	5009	8432
559	5018	8423
560	5026	8413
561	5035	8404
562	5044	8395
563	5054	8387
564	5062	8377
565	5072	8370
566	5080	8360
567	5088	8350
568	5097	8340
569	5106	8331
570	5111	8315
571	5120	8306
572	5128	8296
573	5134	8283
574	5151	8287
575	5163	8283
576	5169	8269
577	5174	8253
578	5183	8245
579	5191	8234
580	5200	8225
581	5207	8214
582	5217	8206
583	5222	8190
584	5230	8180
585	5238	8171
586	5243	8156
587	5253	8148
588	5260	8136
589	5269	8127
590	5277	8116
591	5286	8108
592	5293	8097
593	5302	8087
594	5309	8076
595	5315	8062
596	5319	8046
597	5324	8031
598	5334	8024
599	5342	8013
600	5351	8005
601	5359	7994
602	5368	7985
603	5376	7975
604	5384	7966
605	5394	7957
606	5416	7968
607	5421	7954
608	5431	7947
609	5439	7936
610	5446	7923
611	5454	7913
612	5462	7904
613	5470	7893
614	5477	7882
615	5486	7872
616	5496	7866
617	5505	7857
618	5514	7848
619	5521	7837
620	5531	7829
621	5540	7821
622	5549	7811
623	5557	7802
624	5563	7788
625	5569	7776
626	5580	7770
627	5588	7760
628	5599	7753
629	5607	7743
630	5616	7734
631	5624	7724
632	5633	7716
633	5646	7712
634	5658	7707
635	5663	7694
636	5672	7685
637	5681	7675
638	5690	7667
639	5698	7657
640	5707	7648
641	5712	7634
642	5718	7621
643	5727	7613
644	5732	7599
645	5742	7590
646	5747	7577
647	5757	7569
648	5765	7559
649	5774	7551
650	5782	7541
651	5788	7528
652	5795	7516
653	5804	7508
654	5812	7498
655	5821	7489
656	5829	7480
657	5838	7471
658	5845	7460
659	5855	7452
660	5865	7444
661	5878	7441
662	5897	7445
663	5907	7438
664	5915	7428
665	5925	7420
666	5933	7410
667	5943	7402
668	5952	7393
669	5960	7384
670	5969	7374
671	5977	7365
672	5985	7355
673	5993	7345
674	6002	7336
675	6010	7326
676	6018	7316
677	6027	7307
678	6033	7295
679	6043	7287
680	6054	7281
681	6064	7273
682	6074	7265
683	6082	7256
684	6091	7247
685	6096	7234
686	6103	7222
687	6111	7213
688	6121	7205
689	6126	7191
690	6148	7198
691	6157	7189
692	6163	7177
693	6173	7169
694	6181	7160
695	6190	7151
696	6199	7142
697	6207	7132
698	6217	7124
699	6222	7111
700	6232	7103
701	6241	7094
702	6251	7087
703	6259	7077
704	6265	7065
705	6274	7056
706	6283	7047
707	6291	7038
708	6301	7029
709	6309	7020
710	6315	7007
711	6323	6998
712	6333	6990
713	6341	6981
714	6351	6973
715	6360	6964
716	6369	6955
717	6374	6942
718	6393	6945
719	6402	6936
720	6411	6927
721	6420	6918
722	6429	6909
723	6437	6900
724	6447	6892
725	6452	6879
726	6461	6870
727	6470	6861
728	6479	6852
729	6487	6842
730	6496	6833
731	6504	6824
732	6510	6812
733	6519	6803
734	6528	6795
735	6537	6786
736	6545	6776
737	6554	6767
738	6564	6760
739	6574	6752
740	6584	6744
741	6594	6736
742	6600	6725
743	6613	6719
744	6631	6720
745	6637	6708
746	6647	6701
747	6655	6691
748	6665	6683
749	6674	6674
750	6683	6665
751	6692	6657
752	6701	6647
753	6707	6636
754	6714	6625
755	6723	6616
756	6732	6608
757	6742	6599
758	6748	6588
759	6753	6576
760	6763	6567
761	6768	6555
762	6777	6546
763	6786	6537
764	6796	6529
765	6805	6520
766	6815	6513
767	6824	6504
768	6833	6495
769	6843	6487
770	6851	6478
771	6873	6482
772	6879	6470
773	6889	6462
774	6898	6453
775	6907	6444
776	6916	6435
777	6922	6424
778	6931	6415
779	6941	6407
780	6949	6397
781	6958	6388
782	6966	6379
783	6976	6371
784	6985	6362
785	6994	6353
786	7003	6344
787	7013	6336
788	7022	6328
789	7033	6321
790	7044	6313
791	7052	6304
792	7062	6296
793	7070	6286
794	7076	6275
795	7085	6266
796	7094	6257
797	7106	6251
798	7124	6250
799	7130	6239
800	7140	6231
801	7146	6219
802	7156	6211
803	7165	6202
804	7174	6194
805	7183	6185
806	7192	6176
807	7201	6167
